"estado","municipio","Total_15"
"Michoacán de Ocampo","Arteaga",22138
"Michoacán de Ocampo","Briseñas",11328
"Michoacán de Ocampo","Buenavista",47498
"Michoacán de Ocampo","Carácuaro",9485
"Michoacán de Ocampo","Charapan",12373
"Michoacán de Ocampo","Charo",21784
"Michoacán de Ocampo","Chavinda",10258
"Michoacán de Ocampo","Cherán",19081
"Michoacán de Ocampo","Chilchota",39035
"Michoacán de Ocampo","Chinicuila *",5032
"Michoacán de Ocampo","Chucándiro",4559
"Michoacán de Ocampo","Churintzio",5016
"Michoacán de Ocampo","Churumuco",15455
"Michoacán de Ocampo","Coahuayana",14392
"Michoacán de Ocampo","Coalcomán de Vázquez Pallares",18444
"Michoacán de Ocampo","Coeneo",20749
"Michoacán de Ocampo","Cojumatlán de Régules",10450
"Michoacán de Ocampo","Contepec",34193
"Michoacán de Ocampo","Copándaro",9151
"Michoacán de Ocampo","Cotija",19018
"Michoacán de Ocampo","Cuitzeo",29681
"Michoacán de Ocampo","Ecuandureo",12788
"Michoacán de Ocampo","Epitacio Huerta",16622
"Michoacán de Ocampo","Erongarícuaro",15291
"Michoacán de Ocampo","Gabriel Zamora",22707
"Michoacán de Ocampo","Hidalgo",122619
"Michoacán de Ocampo","Huandacareo",11723
"Michoacán de Ocampo","Huaniqueo",8093
"Michoacán de Ocampo","Huetamo",40818
"Michoacán de Ocampo","Huiramba",8838
"Michoacán de Ocampo","Indaparapeo",16990
"Michoacán de Ocampo","Irimbo",15215
"Michoacán de Ocampo","Ixtlán",12720
"Michoacán de Ocampo","Jacona",69744
"Michoacán de Ocampo","Jiménez",12426
"Michoacán de Ocampo","Jiquilpan",32950
"Michoacán de Ocampo","José Sixto Verduzco",26214
"Michoacán de Ocampo","Juárez",14387
"Michoacán de Ocampo","Jungapeo",21548
"Michoacán de Ocampo","La Huacana",34243
"Michoacán de Ocampo","La Piedad",103702
"Michoacán de Ocampo","Lagunillas",5571
"Michoacán de Ocampo","Lázaro Cárdenas",183185
"Michoacán de Ocampo","Los Reyes",69723
"Michoacán de Ocampo","Madero",18030
"Michoacán de Ocampo","Maravatío",88535
"Michoacán de Ocampo","Marcos Castellanos",13750
"Michoacán de Ocampo","Morelia",784776
"Michoacán de Ocampo","Morelos",7806
"Michoacán de Ocampo","Múgica",45484
"Michoacán de Ocampo","Nahuatzen",28074
"Michoacán de Ocampo","Nocupétaro",8195
"Michoacán de Ocampo","Nuevo Parangaricutiro",19595
"Michoacán de Ocampo","Nuevo Urecho",7988
"Michoacán de Ocampo","Numarán",9794
"Michoacán de Ocampo","Ocampo",24424
"Michoacán de Ocampo","Pajacuarán",19440
"Michoacán de Ocampo","Panindícuaro",15705
"Michoacán de Ocampo","Paracho",37464
"Michoacán de Ocampo","Parácuaro",26789
"Michoacán de Ocampo","Pátzcuaro",93265
"Michoacán de Ocampo","Penjamillo",16920
"Michoacán de Ocampo","Peribán",27832
"Michoacán de Ocampo","Purépero",15255
"Michoacán de Ocampo","Puruándiro",67644
"Michoacán de Ocampo","Queréndaro",13836
"Michoacán de Ocampo","Quiroga",27862
"Michoacán de Ocampo","Sahuayo",76587
"Michoacán de Ocampo","Salvador Escalante",49588
"Michoacán de Ocampo","San Lucas",17845
"Michoacán de Ocampo","Santa Ana Maya",12466
"Michoacán de Ocampo","Senguio",19146
"Michoacán de Ocampo","Susupuato",8804
"Michoacán de Ocampo","Tacámbaro",76661
"Michoacán de Ocampo","Tancítaro",31100
"Michoacán de Ocampo","Tangamandapio",29268
"Michoacán de Ocampo","Tangancícuaro",33621
"Michoacán de Ocampo","Tanhuato",15352
"Michoacán de Ocampo","Taretan",14819
"Michoacán de Ocampo","Tarímbaro",105400
"Michoacán de Ocampo","Tepalcatepec",23842
"Michoacán de Ocampo","Tingambato",15010
"Michoacán de Ocampo","Tingüindín",14532
"Michoacán de Ocampo","Tiquicheo de Nicolás Romero",13731
"Michoacán de Ocampo","Tlalpujahua",27788
"Michoacán de Ocampo","Tlazazalca",6202
"Michoacán de Ocampo","Tocumbo",11994
"Michoacán de Ocampo","Tumbiscatío",6947
"Michoacán de Ocampo","Turicato",31849
"Michoacán de Ocampo","Tuxpan",27371
"Michoacán de Ocampo","Tuzantla",15383
"Michoacán de Ocampo","Tzintzuntzan",14432
"Michoacán de Ocampo","Tzitzio",8966
"Michoacán de Ocampo","Uruapan",334749
"Michoacán de Ocampo","Venustiano Carranza",24708
"Michoacán de Ocampo","Villamar",17166
"Michoacán de Ocampo","Vista Hermosa",20624
"Michoacán de Ocampo","Yurécuaro",31404
"Michoacán de Ocampo","Zacapu",75632
"Michoacán de Ocampo","Zamora",196208
"Michoacán de Ocampo","Zináparo *",3200
"Michoacán de Ocampo","Zinapécuaro",47327
"Michoacán de Ocampo","Ziracuaretiro",17394
"Michoacán de Ocampo","Zitácuaro",164144
