"1,476","3,246",67,358,"4,932","1,295",70,739,"2,410",86,-,80,-,0,400
"-",12,-,-,541,-,601,27,2,-,-,340,-,0,30
"4,337","20,796","1,711","1,849","20,073","1,031","1,318","4,485","29,208","1,142",615,"4,682","1,594",84,"4,093"
"-","1,224","1,300",-,99,-,1,2,3,-,-,3,-,0,40
59,208,49,88,"1,800",887,33,784,11,-,52,"1,800",-,1,183
29,"2,504",-,-,"3,838",17,51,108,91,-,11,"1,281","2,744",0,391
31,"6,641","4,244",82,"6,489",-,43,277,81,24,-,183,-,0,696
162,"3,839",52,64,"8,201",66,97,786,114,106,-,"3,355",-,6,777
73,"10,264","2,813",250,"16,136",-,115,578,517,-,-,291,-,5,"1,502"
"1,433","9,715",844,"2,379","12,466","3,391",303,"2,598",701,-,-,711,-,30,859
5,5,"2,351",-,"2,004",-,-,95,4,-,-,-,-,2,31
148,311,271,245,"21,036",-,170,337,147,-,-,"17,197",-,118,"1,253"
26,324,45,426,"8,736",35,116,"1,101",476,96,-,"5,512",-,4,529
"1,706","3,386","2,874",-,"4,943",478,49,"1,901",525,52,32,"2,567",-,0,627
"65,719","15,908","2,389","2,023","46,756","1,819","1,400","1,882","15,105","1,127","1,767","1,915","3,740",169,"5,529"
241,"4,455","1,249",-,"3,152",227,62,"1,100","1,783",-,-,362,-,1,372
12,"4,449",-,18,"3,991",-,11,3,165,-,-,12,-,9,165
"2,450",817,181,190,"1,858",-,180,285,"1,374",120,-,109,-,8,217
298,"5,207",126,404,"11,336",555,414,235,595,153,19,"2,893",491,25,"1,514"
171,127,40,"1,325","4,968",-,351,"3,735",219,-,6,"2,742",-,1,316
123,"6,562",179,320,"8,409",124,169,"7,142","2,933",215,-,"1,761",-,15,747
"1,007","5,125","2,864",561,"13,340",398,431,399,"3,411",396,-,"15,182",-,9,"1,424"
74,"5,455",-,159,"6,980",-,112,"3,031",591,41,9,463,-,1,747
"-","14,571",54,-,"7,710",-,81,36,24,-,9,119,-,0,340
"-","1,525",-,-,859,-,11,7,14,-,5,37,-,1,95
152,"1,638",-,353,"1,687",-,34,"2,851",214,-,-,887,-,0,179
"-",74,"2,011",-,"1,907",4,-,13,2,-,-,"1,523",-,0,120
"2,326",-,-,-,"2,572",-,8,26,6,-,-,440,-,0,86
62,215,108,-,"1,168",-,273,"1,329",150,-,-,835,-,0,93
"-",333,-,-,674,-,14,381,2,-,-,606,-,1,55
"-",-,-,-,"1,009",-,-,706,-,-,-,5,-,0,7
"-",-,-,-,-,-,-,-,-,-,-,-,-,0,0
276,891,7,-,"1,844",11,172,476,30,-,-,"1,882",-,10,96
136,"3,463",959,-,"3,933",93,67,"1,020",211,-,-,153,-,2,310
26,"1,132",34,"1,911","1,627",102,329,"1,229",43,-,-,"1,081",-,0,122
