"INEGI","win","year"
"09","PRD",2016
"10","PAN",2016
"11","PAN",2016
"12","PRI",2016
"13","PRI",2016
"14","PRI",2016
"15","PRI",2016
"16","PRD",2016
"17","PRD",2016
"18","PRI",2016
"19","INDEP",2016
"20","PAN",2016
"21","PAN",2016
"22","PAN",2016
"23","PRD",2016
"24","PRI",2016
"25","PAN",2016
"26","PRI",2016
"27","PRD",2016
"28","PRI",2016
"29","PRI",2016
"30","PRI",2016
"31","PRI",2016
"32","PRI",2016
"01","PAN",2017
"02","PAN",2017
"03","PAN",2017
"04","PRI",2017
"05","PRI",2017
"06","PRI",2017
"07","PVEM",2017
"08","PAN",2017
"09","PRD",2017
"10","PAN",2017
"11","PAN",2017
"12","PRI",2017
"13","PRI",2017
"14","PRI",2017
"15","PRI",2017
"16","PRD",2017
"17","PRD",2017
"18","PAN",2017
"19","INDEP",2017
"20","PRI",2017
"21","PAN",2017
"22","PAN",2017
"23","PRD",2017
"24","PRI",2017
"25","PRI",2017
"26","PRI",2017
"27","PRD",2017
"28","PAN",2017
"29","PRI",2017
"30","PAN",2017
"31","PRI",2017
"32","PRI",2017
"01","PAN",2018
"02","PAN",2018
"03","PAN",2018
"04","PRI",2018
"05","PRI",2018
"06","PRI",2018
"07","PVEM",2018
"08","PAN",2018
"09","PRD",2018
"10","PAN",2018
"11","PAN",2018
"12","PRI",2018
"13","PRI",2018
"14","PRI",2018
"15","PRI",2018
"16","PRD",2018
"17","PRD",2018
"18","PAN",2018
"19","INDEP",2018
"20","PRI",2018
"21","PAN",2018
"22","PAN",2018
"23","PRD",2018
"24","PRI",2018
"25","PRI",2018
"26","PRI",2018
"27","PRD",2018
"28","PAN",2018
"29","PRI",2018
"30","PAN",2018
"31","PRI",2018
"32","PRI",2018
"01","PAN",2019
"02","PAN",2019
"03","PAN",2019
"04","PRI",2019
"05","PRI",2019
"06","PRI",2019
"07","Morena",2019
"08","PAN",2019
"09","Morena",2019
"10","PAN",2019
"11","PAN",2019
"12","PRI",2019
"13","PRI",2019
"14","MC",2019
"15","PRI",2019
"16","PRD",2019
"17","Morena",2019
"18","PAN",2019
"19","INDEP",2019
"20","PRI",2019
"21",NA,2019
"22","PAN",2019
"23","PRD",2019
"24","PRI",2019
"25","PRI",2019
"26","PRI",2019
"27","Morena",2019
"28","PAN",2019
"29","PRI",2019
"30","Morena",2019
"31","Morena",2019
"32","PRI",2019
