"muni","total","danio","delsex","hom","les","robo","otros","year","muniYear"
"07010",7,NA,NA,NA,NA,NA,7,1994,"07010_1994"
"07011",43,NA,NA,NA,NA,NA,43,1994,"07011_1994"
"07012",130,NA,NA,NA,NA,NA,130,1994,"07012_1994"
"07013",285,NA,NA,NA,NA,NA,285,1994,"07013_1994"
"07014",52,NA,NA,NA,NA,NA,52,1994,"07014_1994"
"07015",123,NA,NA,NA,NA,NA,123,1994,"07015_1994"
"07016",236,NA,NA,NA,NA,NA,236,1994,"07016_1994"
"07017",540,NA,NA,NA,NA,NA,540,1994,"07017_1994"
"07018",18,NA,NA,NA,NA,NA,18,1994,"07018_1994"
"07019",864,NA,NA,NA,NA,NA,864,1994,"07019_1994"
"07020",257,NA,NA,NA,NA,NA,257,1994,"07020_1994"
"07021",232,NA,NA,NA,NA,NA,232,1994,"07021_1994"
"07022",9,NA,NA,NA,NA,NA,9,1994,"07022_1994"
"07023",74,NA,NA,NA,NA,NA,74,1994,"07023_1994"
"07024",11,NA,NA,NA,NA,NA,11,1994,"07024_1994"
"07025",41,NA,NA,NA,NA,NA,41,1994,"07025_1994"
"07026",34,NA,NA,NA,NA,NA,34,1994,"07026_1994"
"07027",590,NA,NA,NA,NA,NA,590,1994,"07027_1994"
"07028",10,NA,NA,NA,NA,NA,10,1994,"07028_1994"
"07029",21,NA,NA,NA,NA,NA,21,1994,"07029_1994"
"07030",53,NA,NA,NA,NA,NA,53,1994,"07030_1994"
"07031",315,NA,NA,NA,NA,NA,315,1994,"07031_1994"
"07032",240,NA,NA,NA,NA,NA,240,1994,"07032_1994"
"07033",6,NA,NA,NA,NA,NA,6,1994,"07033_1994"
"07034",411,NA,NA,NA,NA,NA,411,1994,"07034_1994"
"07035",81,NA,NA,NA,NA,NA,81,1994,"07035_1994"
"07036",10,NA,NA,NA,NA,NA,10,1994,"07036_1994"
"07037",331,NA,NA,NA,NA,NA,331,1994,"07037_1994"
"07038",41,NA,NA,NA,NA,NA,41,1994,"07038_1994"
"07039",76,NA,NA,NA,NA,NA,76,1994,"07039_1994"
"07040",667,NA,NA,NA,NA,NA,667,1994,"07040_1994"
"07041",91,NA,NA,NA,NA,NA,91,1994,"07041_1994"
"07042",30,NA,NA,NA,NA,NA,30,1994,"07042_1994"
"07043",46,NA,NA,NA,NA,NA,46,1994,"07043_1994"
"07044",44,NA,NA,NA,NA,NA,44,1994,"07044_1994"
"07045",8,NA,NA,NA,NA,NA,8,1994,"07045_1994"
"07046",202,NA,NA,NA,NA,NA,202,1994,"07046_1994"
"07047",81,NA,NA,NA,NA,NA,81,1994,"07047_1994"
"07048",171,NA,NA,NA,NA,NA,171,1994,"07048_1994"
"07049",10,NA,NA,NA,NA,NA,10,1994,"07049_1994"
"07050",30,NA,NA,NA,NA,NA,30,1994,"07050_1994"
"07051",474,NA,NA,NA,NA,NA,474,1994,"07051_1994"
"07052",434,NA,NA,NA,NA,NA,434,1994,"07052_1994"
"07053",19,NA,NA,NA,NA,NA,19,1994,"07053_1994"
"07054",168,NA,NA,NA,NA,NA,168,1994,"07054_1994"
"07055",42,NA,NA,NA,NA,NA,42,1994,"07055_1994"
"07056",3,NA,NA,NA,NA,NA,3,1994,"07056_1994"
"07057",289,NA,NA,NA,NA,NA,289,1994,"07057_1994"
"07058",6,NA,NA,NA,NA,NA,6,1994,"07058_1994"
"07059",1685,NA,NA,NA,NA,NA,1685,1994,"07059_1994"
"07060",29,NA,NA,NA,NA,NA,29,1994,"07060_1994"
"07061",333,NA,NA,NA,NA,NA,333,1994,"07061_1994"
"07062",65,NA,NA,NA,NA,NA,65,1994,"07062_1994"
"07063",7,NA,NA,NA,NA,NA,7,1994,"07063_1994"
"07064",80,NA,NA,NA,NA,NA,80,1994,"07064_1994"
"07065",866,NA,NA,NA,NA,NA,866,1994,"07065_1994"
"07066",110,NA,NA,NA,NA,NA,110,1994,"07066_1994"
"07067",25,NA,NA,NA,NA,NA,25,1994,"07067_1994"
"07068",392,NA,NA,NA,NA,NA,392,1994,"07068_1994"
"07069",549,NA,NA,NA,NA,NA,549,1994,"07069_1994"
"07070",23,NA,NA,NA,NA,NA,23,1994,"07070_1994"
"07071",259,NA,NA,NA,NA,NA,259,1994,"07071_1994"
"07072",160,NA,NA,NA,NA,NA,160,1994,"07072_1994"
"07073",51,NA,NA,NA,NA,NA,51,1994,"07073_1994"
"07074",605,NA,NA,NA,NA,NA,605,1994,"07074_1994"
"07075",105,NA,NA,NA,NA,NA,105,1994,"07075_1994"
"07076",47,NA,NA,NA,NA,NA,47,1994,"07076_1994"
"07077",439,NA,NA,NA,NA,NA,439,1994,"07077_1994"
"07078",1819,NA,NA,NA,NA,NA,1819,1994,"07078_1994"
"07079",97,NA,NA,NA,NA,NA,97,1994,"07079_1994"
"07080",52,NA,NA,NA,NA,NA,52,1994,"07080_1994"
"07081",170,NA,NA,NA,NA,NA,170,1994,"07081_1994"
"07082",27,NA,NA,NA,NA,NA,27,1994,"07082_1994"
"07083",85,NA,NA,NA,NA,NA,85,1994,"07083_1994"
"07084",32,NA,NA,NA,NA,NA,32,1994,"07084_1994"
