"muniYear","IM"
"05022_2015",-1.401
"05027_1990",-1.038
"05006_2015",-1.484
"05022_2010",-1.463
"05006_2010",-1.453
"05022_2005",-1.5
"05006_2005",-1.466
"05031_2015",-1.76
"05004_2015",-0.849
"05022_2000",-1.63
"05003_2010",-1.638
"05003_2015",-1.6
"05004_2010",-0.72
"05006_2000",-1.504
"05031_2010",-1.686
"05006_1995",-0.945
"05036_2015",-0.38
"05006_1990",-1.417
"05036_2010",-0.525
"05036_1990",-0.224
"05003_2000",-1.785
"05022_1995",-1.252
"05031_1990",-1.721
"05003_2005",-1.712
"05031_2000",-1.761
"05031_1995",-1.356
"05003_1995",-1.399
"05004_2005",-0.669
"05031_2005",-1.682
"05036_1995",-0.314
"05004_2000",-0.767
"05036_2005",-0.537
"05036_2000",-0.523
"05004_1995",-0.44
"05003_1990",-1.773
"05004_1990",-0.495
"05022_1990",-1.555
"05007_2015",-0.992
"05023_1995",-0.53
"05038_2015",-1.261
"05007_2010",-0.912
"05007_1995",-0.658
"05038_2010",-1.227
"05038_2000",-1.45
"05011_2015",-0.624
"05038_2005",-1.319
"05038_1995",-1.058
"05007_1990",-0.918
"05007_2005",-0.931
"05007_2000",-1.04
"05023_2000",-0.687
"05011_1990",-0.283
"05011_1995",-0.29
"05011_2010",-0.432
"05023_2015",-0.757
"05011_2000",-0.462
"05011_2005",-0.377
"05038_1990",-1.386
"05023_2010",-0.633
"05014_2015",-0.448
"05023_2005",-0.659
"05014_2010",-0.263
"05034_1990",-1.008
"05014_2005",-0.691
"05014_2000",-0.598
"05014_1995",-0.051
"05019_2015",-1.427
"05014_1990",-0.425
"05019_2010",-1.523
"05023_1990",-0.131
"05019_2000",-1.594
"05019_2005",-1.567
"05034_2015",-1.014
"05019_1990",-1.512
"05019_1995",-1.247
"05021_2015",-1.106
"05034_1995",-1.077
"05034_2010",-1.041
"05037_2015",-1.186
"05021_2010",-0.983
"05037_2010",-1.286
"05037_1995",-0.941
"05021_1995",-0.822
"05037_2000",-1.02
"05037_2005",-1.313
"05034_2000",-1.189
"05021_2000",-1.172
"05037_1990",-0.89
"05021_2005",-1.001
"05021_1990",-1.095
"05034_2005",-1.061
"05026_1990",-0.843
"05026_1995",-0.598
"05026_2000",-0.843
"05026_2010",-0.989
"05026_2005",-0.698
"05026_2015",-0.819
"05008_2015",-0.773
"05008_1990",-0.482
"05008_2010",-0.81
"05008_1995",-0.46
"05008_2000",-0.709
"05008_2005",-0.693
"05012_1990",-0.797
"05029_2015",-1.077
"05029_2010",-1.11
"05012_1995",-0.759
"05012_2010",-0.79
"05029_2005",-1.081
"05012_2000",-0.857
"05016_1990",-1.279
"05029_2000",-1.111
"05029_1990",-1.118
"05029_1995",-0.806
"05005_1990",-0.836
"05012_2005",-0.694
"05013_2010",-0.887
"05016_2010",-1.124
"05016_1995",-0.891
"05005_2010",-0.646
"05016_2000",-1.223
"05016_2015",-1.012
"05005_2015",-0.647
"05005_1995",-0.747
"05016_2005",-1.054
"05012_2015",-0.673
"05005_2000",-0.682
"05005_2005",-0.538
"05015_1990",-0.43
"05015_2000",-0.56
"05015_2010",-0.862
"05015_1995",-0.224
"05015_2015",-0.958
"05013_2015",-0.796
"05013_2005",-0.746
"05013_2000",-0.773
"05001_1990",-1.356
"05015_2005",-0.733
"05001_1995",-1.352
"05013_1995",-0.341
