"muniYear","state","muni","year","Winner2","nulos","noreg","muniYear1","total","PAN","PRI","PRD","PAN_PRD"
"15015_2015","15","015",2015,"PRI_PVEM_PNA",273,4,"15015_2015",15345,2636,6388,1286,0
"15016_2015","15","016",2015,"PRI",263,1,"15016_2015",12277,2613,5031,754,0
"15017_2015","15","017",2015,"PRI_PVEM_PNA",58,0,"15017_2015",5407,128,2949,1343,0
"15018_2015","15","018",2015,"PRI_PVEM_PNA",593,8,"15018_2015",27631,4613,13825,747,0
"15019_2015","15","019",2015,"PRD",268,2,"15019_2015",13618,2692,5079,3368,0
"15020_2015","15","020",2015,"PRI_PVEM_PNA",4240,208,"15020_2015",129549,19911,54584,20920,0
"15021_2015","15","021",2015,"PRI_PVEM_PNA",366,1,"15021_2015",25897,3451,17445,336,0
"15022_2015","15","022",2015,"PRD",104,2,"15022_2015",9370,556,4120,2369,0
"15023_2015","15","023",2015,"PAN",357,8,"15023_2015",19773,4458,6270,1141,0
"15024_2015","15","024",2015,"PRI_PVEM_PNA",1239,846,"15024_2015",48465,10696,26588,2839,0
"15121_2015","15","121",2015,"PRI_PVEM_PNA",8376,354,"15121_2015",313713,118269,127092,7637,0
"15025_2015","15","025",2015,"PRI_PVEM_PNA",3890,75,"15025_2015",122081,5383,60992,19783,0
"15026_2015","15","026",2015,"PAN_PT",419,2,"15026_2015",26973,15496,10452,345,0
"15027_2015","15","027",2015,"PAN_PT",114,2,"15027_2015",8181,2455,3409,232,0
"15028_2015","15","028",2015,"PRI_PVEM_PNA",216,4,"15028_2015",17259,147,9683,343,0
"15029_2015","15","029",2015,"PRI_PVEM_PNA",1920,61,"15029_2015",74088,1176,35461,12407,0
"15030_2015","15","030",2015,"PRI_PVEM_PNA",212,3,"15030_2015",13903,139,5650,616,0
"15031_2015","15","031",2015,"PRI_PVEM_PNA",5587,101,"15031_2015",192714,6220,119451,20605,0
"15032_2015","15","032",2015,"PRD",485,0,"15032_2015",16558,1894,6631,7265,0
"15033_2015","15","033",2015,"PRI_PVEM_PNA",25734,783,"15033_2015",678567,39301,375100,91908,0
"15034_2015","15","034",2015,"PRI",133,1,"15034_2015",4339,1437,1690,31,0
"15035_2015","15","035",2015,"PAN",763,38,"15035_2015",46272,11485,19818,9068,0
"15036_2015","15","036",2015,"PRI_PVEM_PNA",536,2,"15036_2015",29273,10480,10590,5393,0
"15037_2015","15","037",2015,"PAN",3874,107,"15037_2015",122225,35609,66770,6065,0
"15038_2015","15","038",2015,"PRD",100,0,"15038_2015",6579,392,2388,1428,0
"15039_2015","15","039",2015,"PRI_PVEM_PNA",4902,152,"15039_2015",208383,7330,127666,47234,0
"15040_2015","15","040",2015,"PRI_PVEM_PNA",617,13,"15040_2015",24783,4314,13697,1179,0
"15041_2015","15","041",2015,"PAN",96,0,"15041_2015",5623,2159,3211,228,0
"15042_2015","15","042",2015,"PRI",2236,26,"15042_2015",50153,3851,21449,2074,0
"15043_2015","15","043",2015,"PAN_PT",208,5,"15043_2015",14728,6421,6242,1363,0
"15044_2015","15","044",2015,"PRI_PVEM_PNA",258,11,"15044_2015",13054,2485,5390,695,0
"15045_2015","15","045",2015,"PNA",1101,14,"15045_2015",47389,15533,11391,1844,0
"15046_2015","15","046",2015,"PAN",265,6,"15046_2015",11926,4309,5593,1222,0
"15047_2015","15","047",2015,"PRI",1278,5,"15047_2015",33429,7867,10848,1139,0
"15048_2015","15","048",2015,"PRI_PVEM_PNA",944,18,"15048_2015",39467,7815,26445,663,0
"15049_2015","15","049",2015,"PRI_PVEM_PNA",156,0,"15049_2015",10879,2752,5367,395,0
"15050_2015","15","050",2015,"PRI_PVEM_PNA",272,4,"15050_2015",13760,557,7905,1775,0
"15051_2015","15","051",2015,"PRI_PVEM_PNA",1490,30,"15051_2015",72109,18635,41719,3383,0
"15052_2015","15","052",2015,"PRI",399,8,"15052_2015",15728,6161,4776,3754,0
"15053_2015","15","053",2015,"PAN_PT",603,15,"15053_2015",29249,12575,5303,4941,0
"15054_2015","15","054",2015,"PRI_PVEM_PNA",3915,190,"15054_2015",131446,25679,73603,3114,0
"15055_2015","15","055",2015,"PRI_PVEM_PNA",131,2,"15055_2015",7591,1407,2518,139,0
"15056_2015","15","056",2015,"PRI",465,4,"15056_2015",14102,1563,6335,159,0
"15057_2015","15","057",2015,"PAN",14741,595,"15057_2015",375565,106280,172370,14351,0
"15059_2015","15","059",2015,"PRD",292,4,"15059_2015",15647,774,5535,3271,0
"15058_2015","15","058",2015,"PRD",17152,633,"15058_2015",387107,12423,83467,215361,0
"15060_2015","15","060",2015,"PRI_PVEM_PNA",3775,98,"15060_2015",169194,35217,96926,5106,0
"15061_2015","15","061",2015,"PRI_PVEM_PNA",73,1,"15061_2015",8265,2702,5308,46,0
"15062_2015","15","062",2015,"PRI_PVEM_PNA",813,156,"15062_2015",30523,1921,13695,3587,0
"15063_2015","15","063",2015,"PRD",342,3,"15063_2015",18168,3295,8546,4792,0
"15064_2015","15","064",2015,"PRI",588,4,"15064_2015",15140,4435,5137,281,0
"15065_2015","15","065",2015,"PT",315,11,"15065_2015",21186,3105,10349,1277,0
"15066_2015","15","066",2015,"PRI_PVEM_PNA",47,0,"15066_2015",5101,9,3604,1457,0
"15067_2015","15","067",2015,"PRI",867,10,"15067_2015",38287,19253,10640,1025,0
"15068_2015","15","068",2015,"PAN_PT",287,24,"15068_2015",15570,7890,3486,196,0
"15069_2015","15","069",2015,"PRI_PVEM_PNA",25,2,"15069_2015",3837,911,2203,81,0
"15070_2015","15","070",2015,"PRI_PVEM_PNA",3117,79,"15070_2015",115737,2882,72951,18672,0
"15071_2015","15","071",2015,"PRI_PVEM_PNA",275,2,"15071_2015",11157,1842,8769,116,0
"15072_2015","15","072",2015,"PRI_PVEM_PNA",97,7,"15072_2015",10972,2564,5086,122,0
"15073_2015","15","073",2015,"PAN",175,12,"15073_2015",10453,1897,3645,884,0
"15074_2015","15","074",2015,"PRI",3014,9,"15074_2015",46116,8190,29112,1457,0
"15075_2015","15","075",2015,"PRI_PVEM_PNA",239,8,"15075_2015",16614,4361,8692,88,0
"15076_2015","15","076",2015,"PRI",984,33,"15076_2015",34695,8659,11878,1584,0
"15077_2015","15","077",2015,"PRD",80,0,"15077_2015",4943,0,2575,1510,0
"15078_2015","15","078",2015,"PRI",75,3,"15078_2015",5335,884,1934,1258,0
"15079_2015","15","079",2015,"PAN_PT",121,23,"15079_2015",14932,8753,6068,37,0
"15080_2015","15","080",2015,"PRI",457,0,"15080_2015",13289,3255,6235,2917,0
"15081_2015","15","081",2015,"PRI_PVEM_PNA",6291,210,"15081_2015",208656,20425,132678,8867,0
"15082_2015","15","082",2015,"PRI",1091,23,"15082_2015",37130,8469,12804,12255,0
"15083_2015","15","083",2015,"PRI_PVEM_PNA",103,2,"15083_2015",7866,1300,2853,518,0
"15084_2015","15","084",2015,"PAN",287,0,"15084_2015",22753,7424,12096,571,0
"15085_2015","15","085",2015,"PRI_PVEM_PNA",1214,12,"15085_2015",42326,2236,25469,12752,0
"15086_2015","15","086",2015,"PRI",433,2,"15086_2015",20089,9035,6661,3702,0
"15087_2015","15","087",2015,"PRI_PVEM_PNA",1344,13,"15087_2015",45684,7550,21396,704,0
"15088_2015","15","088",2015,"PRI_PVEM_PNA",1434,12,"15088_2015",49585,5978,27385,2920,0
"15089_2015","15","089",2015,"PAN",109,0,"15089_2015",6720,1717,2603,56,0
"15090_2015","15","090",2015,"PRI",946,18,"15090_2015",36608,8675,9240,6843,0
"15091_2015","15","091",2015,"PRI_PVEM_PNA",814,20,"15091_2015",36719,8392,16589,2867,0
"15092_2015","15","092",2015,"PRI_PVEM_PNA",636,14,"15092_2015",33802,4654,21210,3619,0
"15093_2015","15","093",2015,"PRI_PVEM_PNA",258,4,"15093_2015",16343,2872,7133,2157,0
"15094_2015","15","094",2015,"PRI_PVEM_PNA",173,1,"15094_2015",10842,1034,5378,1433,0
"15095_2015","15","095",2015,"MC",699,9,"15095_2015",35071,9352,6815,2255,0
"15096_2015","15","096",2015,"PRI_PVEM_PNA",371,8,"15096_2015",21806,2727,11045,1183,0
"15097_2015","15","097",2015,"PRI",188,1,"15097_2015",9646,4088,4943,68,0
"15098_2015","15","098",2015,"PRI",49,0,"15098_2015",2778,0,696,579,0
"15099_2015","15","099",2015,"Morena",2765,79,"15099_2015",133695,2115,58181,11378,0
"15100_2015","15","100",2015,"PRI_PVEM_PNA",350,12,"15100_2015",19653,3540,7511,3759,0
"15101_2015","15","101",2015,"PAN_PT",917,10,"15101_2015",44608,19060,18126,2666,0
"15102_2015","15","102",2015,"PRI",231,1,"15102_2015",9255,3905,4523,456,0
"15103_2015","15","103",2015,"PRI_PVEM_PNA",670,14,"15103_2015",23996,730,11466,322,0
"15104_2015","15","104",2015,"PRI_PVEM_PNA",13362,434,"15104_2015",378959,129784,150961,27169,0
"15105_2015","15","105",2015,"PRD",208,0,"15105_2015",27346,115,14953,12034,0
"15106_2015","15","106",2015,"PRI_PVEM_PNA",12398,385,"15106_2015",408450,81735,227326,20162,0
"15107_2015","15","107",2015,"PRI_PVEM_PNA",139,0,"15107_2015",10743,456,7121,1971,0
"15108_2015","15","108",2015,"PRD",1485,47,"15108_2015",66222,5391,32067,18745,0
"15109_2015","15","109",2015,"PRI_PVEM_PNA",6722,218,"15109_2015",194435,12833,99687,27600,0
"15110_2015","15","110",2015,"PRI_PVEM_PNA",793,16,"15110_2015",42154,5743,23702,1931,0
"15111_2015","15","111",2015,"PRD",813,6,"15111_2015",28562,1733,15308,10476,0
"15112_2015","15","112",2015,"PRI",580,1,"15112_2015",19728,5932,7040,116,0
"15113_2015","15","113",2015,"PRD",676,20,"15113_2015",31621,2100,13839,11464,0
"15114_2015","15","114",2015,"PRI_PVEM_PNA",1031,9,"15114_2015",79444,25485,51526,293,0
"15115_2015","15","115",2015,"PAN_PT",689,16,"15115_2015",36353,14264,12504,378,0
"15116_2015","15","116",2015,"PRD",52,2,"15116_2015",3675,295,1905,1467,0
"15117_2015","15","117",2015,"PRI_PVEM_PNA",220,0,"15117_2015",10674,479,6335,306,0
"15118_2015","15","118",2015,"PRI",2578,37,"15118_2015",58688,15878,19573,2635,0
"15119_2015","15","119",2015,"PRI_PVEM_PNA",260,0,"15119_2015",15659,5615,8814,792,0
"15120_2015","15","120",2015,"PRI",1689,32,"15120_2015",56990,11059,21597,6194,0
"15122_2015","15","122",2015,"PRD",4538,74,"15122_2015",146428,7697,53471,29185,0
"15123_2015","15","123",2015,"PRD",451,0,"15123_2015",24173,10371,7931,5635,0
"15124_2015","15","124",2015,"PRI",1784,5,"15124_2015",30199,12493,12858,1827,0
"15125_2015","15","125",2015,"PT",88,1,"15125_2015",5524,748,1945,155,0
"16028_2015","16","028",2015,"PRI_PVEM",58,0,"16028_2015",5565,0,2783,2528,0
"16030_2015","16","030",2015,"PRI_PVEM",157,1,"16030_2015",9717,2484,6549,566,0
"16060_2015","16","060",2015,"PAN",109,1,"16060_2015",8293,3172,3671,1315,0
"16067_2015","16","067",2015,"PRD_PT_PNA",182,0,"16067_2015",15525,603,6848,7405,0
"16069_2015","16","069",2015,"PRI_PVEM",1141,41,"16069_2015",49559,11475,28113,3318,0
"16086_2015","16","086",2015,"PRD_PT_PNA",158,1,"16086_2015",9773,1538,4039,4090,0
"16106_2015","16","106",2015,"Morena",286,6,"16106_2015",18669,901,6760,5828,0
"16109_2015","16","109",2015,"PRI_PVEM",46,1,"16109_2015",3763,344,1845,1540,0
"16004_2015","16","004",2015,"PRD_PNA",184,5,"16004_2015",14984,404,4580,9356,0
"16018_2015","16","018",2015,"PRI_PVEM",135,0,"16018_2015",6583,1092,2178,2099,0
"16027_2015","16","027",2015,"PRD_PT_PNA",76,1,"16027_2015",4918,386,1817,2576,0
"16036_2015","16","036",2015,"PRD_PNA",199,2,"16036_2015",8129,1750,1325,4548,0
"16113_2015","16","113",2015,"PRD",347,0,"16113_2015",16988,186,6863,4435,0
"16054_2015","16","054",2015,"PRD_PES",188,0,"16054_2015",6140,983,1629,2212,0
"16063_2015","16","063",2015,"PRD_PT_PNA_PES",161,0,"16063_2015",16132,0,7895,7835,0
"16071_2015","16","071",2015,"PRI_PVEM",1931,28,"16071_2015",31160,2458,15541,7254,0
"16007_2015","16","007",2015,"PAN",59,0,"16007_2015",3023,763,1384,633,0
"16017_2015","16","017",2015,"PRI_PVEM",396,2,"16017_2015",24492,2705,10292,9353,0
"16031_2015","16","031",2015,"PRD_PT_PNA",217,0,"16031_2015",15758,2485,4880,6166,0
"16050_2015","16","050",2015,"PRD",1300,11,"16050_2015",32842,6166,10421,9076,0
"16080_2015","16","080",2015,"PRI",266,1,"16080_2015",10714,1157,3704,3465,0
"16093_2015","16","093",2015,"PRD",413,2,"16093_2015",17517,612,5113,3947,0
"16011_2015","16","011",2015,"PT",91,0,"16011_2015",6474,224,2084,1952,0
"16045_2015","16","045",2015,"PRI",504,3,"16045_2015",17923,1191,5951,4904,0
"16051_2015","16","051",2015,"PRI_PVEM",122,3,"16051_2015",9390,2654,6036,547,0
"16062_2015","16","062",2015,"MC",228,2,"16062_2015",12167,845,1972,5290,0
"16074_2015","16","074",2015,"PRD_PT_PNA",52,3,"16074_2015",10376,0,4398,5924,0
"16076_2015","16","076",2015,"PAN",821,10,"16076_2015",32910,13121,9883,8116,0
"16103_2015","16","103",2015,"PRD_PT_Humanista",179,0,"16103_2015",20613,3397,6013,10966,0
"16105_2015","16","105",2015,"PVEM",204,2,"16105_2015",10626,301,2314,3932,0
"16023_2015","16","023",2015,"PRI",151,1,"16023_2015",5523,375,2393,1367,0
"16025_2015","16","025",2015,"PRI",623,4,"16025_2015",18649,617,5923,6677,0
"16042_2015","16","042",2015,"PRD_PNA",121,0,"16042_2015",12041,317,4641,5338,0
"16043_2015","16","043",2015,"MC",746,13,"16043_2015",27586,2938,4363,6517,0
"16084_2015","16","084",2015,"PRI_PVEM",286,1,"16084_2015",19428,3625,7724,7610,0
"16085_2015","16","085",2015,"PAN",403,7,"16085_2015",13430,4050,2871,3239,0
"16104_2015","16","104",2015,"PRI_PVEM",253,0,"16104_2015",14448,3376,5114,4290,0
"16108_2015","16","108",2015,"PRI_PVEM",2362,80,"16108_2015",81394,13245,30384,7030,0
"16016_2015","16","016",2015,"PRD_PNA",340,0,"16016_2015",20108,6742,4519,7736,0
"16037_2015","16","037",2015,"PRD_PT",193,2,"16037_2015",6866,460,898,3915,0
"16044_2015","16","044",2015,"PRD",188,0,"16044_2015",6702,100,2138,2769,0
"16056_2015","16","056",2015,"PRD_PT_PAN_PNA_Humanista",467,2,"16056_2015",21214,439,6385,4211,5028
"16070_2015","16","070",2015,"PNA",250,1,"16070_2015",8028,1504,742,1614,0
"16094_2015","16","094",2015,"PRI_PVEM",67,0,"16094_2015",7268,179,3662,3166,0
"16107_2015","16","107",2015,"MC",1357,16,"16107_2015",31481,2580,6400,5386,0
"16003_2015","16","003",2015,"PT_PES",268,1,"16003_2015",18263,592,6952,1078,0
"16020_2015","16","020",2015,"PRD_PNA",477,2,"16020_2015",17828,1343,5390,6807,0
"16022_2015","16","022",2015,"PAN",270,0,"16022_2015",14945,3248,3982,6247,0
"16040_2015","16","040",2015,"PRI_PVEM",205,0,"16040_2015",14763,281,7101,6854,0
"16078_2015","16","078",2015,"PRI_PVEM",198,0,"16078_2015",8152,959,2926,1566,0
"16088_2015","16","088",2015,"PT_PES",1138,29,"16088_2015",37088,4554,5032,7554,0
"16110_2015","16","110",2015,"PRI",860,5,"16110_2015",19063,1347,6750,4671,0
"16019_2015","16","019",2015,"PVEM",300,0,"16019_2015",11566,1324,1524,4783,0
"16021_2015","16","021",2015,"PT",154,2,"16021_2015",8146,18,2416,2741,0
"16068_2015","16","068",2015,"PAN",290,12,"16068_2015",12813,3174,2115,4526,0
"16075_2015","16","075",2015,"PRD_PT_PNA",804,9,"16075_2015",51087,14218,17602,17290,0
"16083_2015","16","083",2015,"PAN_PRI_PRD_PNA_Humanista_PES",399,4,"16083_2015",11459,1485,1415,952,4139
"16091_2015","16","091",2015,"PRD_PT_PNA_PES",140,0,"16091_2015",11482,2131,3531,5718,0
"16095_2015","16","095",2015,"PVEM",198,0,"16095_2015",6951,295,1183,2371,0
"16034_2015","16","034",2015,"PRI_PVEM",1878,28,"16034_2015",60681,10666,22102,13985,0
"16041_2015","16","041",2015,"PRD_PNA_PES",243,0,"16041_2015",12024,1632,2456,7416,0
"16047_2015","16","047",2015,"PRD_PT_PNA",201,2,"16047_2015",17344,511,6875,9714,0
"16072_2015","16","072",2015,"PRI_PVEM",234,2,"16072_2015",10878,756,5493,3827,0
"16098_2015","16","098",2015,"PRD_PT",345,2,"16098_2015",18537,2529,5900,7715,0
"16005_2015","16","005",2015,"PRI",170,0,"16005_2015",5915,43,2267,424,474
"16061_2015","16","061",2015,"PVEM",406,1,"16061_2015",10748,1001,1661,1190,0
"16112_2015","16","112",2015,"PRD_PT",3207,91,"16112_2015",89770,9384,27241,37569,0
"16065_2015","16","065",2015,"PRD_PT",408,2,"16065_2015",23223,1278,6407,12160,0
"16102_2015","16","102",2015,"PRD_PT",4255,115,"16102_2015",123997,26079,23319,57778,0
"16032_2015","16","032",2015,"PRI_PVEM",288,2,"16032_2015",12562,2980,6248,3202,0
"16039_2015","16","039",2015,"PRI_PVEM",161,1,"16039_2015",8062,365,4697,2587,0
"16048_2015","16","048",2015,"PAN",72,0,"16048_2015",5028,1879,696,2430,0
"16066_2015","16","066",2015,"PRD_PT",1869,35,"16066_2015",42561,5996,6705,20936,0
"16073_2015","16","073",2015,"PRI",438,6,"16073_2015",17257,6327,4295,3666,0
"16079_2015","16","079",2015,"PRD",1166,2,"16079_2015",23820,6748,3816,7839,0
"16090_2015","16","090",2015,"PRD_PT_PNA",113,1,"16090_2015",9047,83,2758,5596,0
"16100_2015","16","100",2015,"PRD_PT_PNA",231,4,"16100_2015",11241,372,3752,4719,0
"16053_2015","16","053",2015,"INDEP",14723,461,"16053_2015",335407,44759,119257,35801,0
"16013_2015","16","013",2015,"PRI_PVEM",172,1,"16013_2015",9678,27,4664,4350,0
"16038_2015","16","038",2015,"PRD",701,3,"16038_2015",22837,265,9252,11368,0
"16046_2015","16","046",2015,"MC",171,0,"16046_2015",11635,94,4781,3677,0
"16057_2015","16","057",2015,"PRD_PT_PAN_PNA_PES",84,2,"16057_2015",10583,205,4708,2579,2967
"16077_2015","16","077",2015,"PRD_PNA",827,1,"16077_2015",13236,125,4549,5902,0
"16081_2015","16","081",2015,"PRI_PVEM",82,0,"16081_2015",8951,129,4118,3443,0
"16092_2015","16","092",2015,"PRD_PT_PNA",196,0,"16092_2015",9145,91,2123,4888,0
"16099_2015","16","099",2015,"PRD_PT_PNA",158,1,"16099_2015",17676,434,8263,8912,0
"16101_2015","16","101",2015,"PRI",164,5,"16101_2015",6128,749,2042,549,1376
"16001_2015","16","001",2015,"PRD_PT",239,1,"16001_2015",7506,736,1408,3401,0
"16009_2015","16","009",2015,"PRI",609,3,"16009_2015",17485,1765,4343,6947,0
"16049_2015","16","049",2015,"PRD_PT",278,22,"16049_2015",14619,2497,5086,6921,0
"16082_2015","16","082",2015,"PRI_PVEM",1213,14,"16082_2015",44622,4245,19148,16209,0
"16097_2015","16","097",2015,"PRI_PVEM",459,9,"16097_2015",28299,837,13536,13168,0
"16058_2015","16","058",2015,"PRI_PVEM",137,0,"16058_2015",16900,607,8650,7331,0
"16087_2015","16","087",2015,"PAN",164,1,"16087_2015",11021,2732,5179,3015,0
"16111_2015","16","111",2015,"PRD_PT_PNA",182,2,"16111_2015",13614,1277,5449,6347,0
"16002_2015","16","002",2015,"PRD_PT_PNA",192,6,"16002_2015",12750,169,4892,7479,0
"16008_2015","16","008",2015,"PRD_PT_PNA",217,149,"16008_2015",17520,1816,942,8694,0
"16012_2015","16","012",2015,"PRD_PNA",547,1,"16012_2015",27782,1297,9026,10379,0
"16014_2015","16","014",2015,"PRD_PT",136,0,"16014_2015",9600,444,2795,4205,0
"16015_2015","16","015",2015,"PRD_PT",225,2,"16015_2015",15690,1167,6763,7313,0
"16026_2015","16","026",2015,"PRD_PT_PNA",41,1,"16026_2015",5480,0,2191,3258,0
"16089_2015","16","089",2015,"PRD_PT_PNA",228,0,"16089_2015",14748,3272,4851,6336,0
"16010_2015","16","010",2015,"PRD_PT_PNA",176,0,"16010_2015",19910,317,8659,10791,0
"16029_2015","16","029",2015,"PRI_PVEM",93,0,"16029_2015",16088,33,8567,7476,0
"16033_2015","16","033",2015,"PRD_PT_PES",173,3,"16033_2015",17637,160,7136,8763,0
"16035_2015","16","035",2015,"PRI_PVEM",448,2,"16035_2015",29206,508,17757,10065,0
"16055_2015","16","055",2015,"PRD",491,11,"16055_2015",25284,2374,13464,8651,0
"16059_2015","16","059",2015,"PRI",73,1,"16059_2015",4165,0,2004,1978,0
"16096_2015","16","096",2015,"PRI",54,0,"16096_2015",5087,0,1345,2396,0
"16006_2015","16","006",2015,"PRI_PVEM",1589,21,"16006_2015",58763,10242,24458,7826,0
"16064_2015","16","064",2015,"PRD_PT_PNA_PES",207,0,"16064_2015",14566,1245,2394,6955,0
"16052_2015","16","052",2015,"PRI_PVEM",1749,85,"16052_2015",70628,6367,36630,17444,0
"17001_2015","17","001",2015,"PRI_PVEM_PNA",260,2,"17001_2015",11735,60,4602,245,0
"17002_2015","17","002",2015,"PAN",306,4,"17002_2015",9084,2038,228,190,0
"17003_2015","17","003",2015,"PVEM",634,1,"17003_2015",15000,2763,2767,825,0
"17004_2015","17","004",2015,"PRI",1739,76,"17004_2015",31178,1549,9561,2687,0
"17005_2015","17","005",2015,"PAN",254,0,"17005_2015",5716,1742,117,535,0
"17006_2015","17","006",2015,"PRD",3219,68,"17006_2015",76330,4735,27209,17119,0
"17007_2015","17","007",2015,"PSD",8828,363,"17007_2015",170150,21270,55259,18787,0
"17008_2015","17","008",2015,"PVEM",1038,10,"17008_2015",33300,2506,1346,7908,0
"17009_2015","17","009",2015,"PNA",293,2,"17009_2015",8459,1076,255,725,0
"17010_2015","17","010",2015,"Humanista",187,1,"17010_2015",8374,53,32,56,0
"17011_2015","17","011",2015,"PRD",3906,91,"17011_2015",86391,5136,29521,18042,0
"17012_2015","17","012",2015,"PSD",975,15,"17012_2015",24493,898,3221,7336,0
"17013_2015","17","013",2015,"MC",325,5,"17013_2015",7974,249,157,212,0
"17014_2015","17","014",2015,"Humanista",145,0,"17014_2015",7558,171,3805,1031,0
"17015_2015","17","015",2015,"PRI_PVEM_PNA",385,1,"17015_2015",18391,94,9717,3868,0
"17016_2015","17","016",2015,"PRI",257,2,"17016_2015",9302,1299,2347,1602,0
"17017_2015","17","017",2015,"PRI_PVEM_PNA",1068,7,"17017_2015",30200,553,8000,896,0
"17018_2015","17","018",2015,"PRD",2159,62,"17018_2015",36763,2300,8708,11837,0
"17019_2015","17","019",2015,"PVEM",458,5,"17019_2015",12977,300,895,1394,0
"17020_2015","17","020",2015,"MC",467,6,"17020_2015",15346,145,3337,3291,0
"17021_2015","17","021",2015,"MC",126,27,"17021_2015",4321,129,1299,28,0
"17022_2015","17","022",2015,"PNA",384,2,"17022_2015",9573,40,76,742,0
"17023_2015","17","023",2015,"PT",161,0,"17023_2015",3230,981,543,44,0
"17024_2015","17","024",2015,"PRI_PVEM_PNA",890,5,"17024_2015",24208,2255,6798,3180,0
"17025_2015","17","025",2015,"PRD",575,11,"17025_2015",14209,559,2364,3387,0
"17026_2015","17","026",2015,"PNA",356,18,"17026_2015",9202,25,2452,2941,0
"17027_2015","17","027",2015,"PRD",170,0,"17027_2015",5152,2150,488,2213,0
"17028_2015","17","028",2015,"PRI",848,1,"17028_2015",25054,1094,10130,6298,0
"17029_2015","17","029",2015,"PRD",1636,18,"17029_2015",36489,2388,5049,9595,0
"17030_2015","17","030",2015,"PAN",734,4,"17030_2015",19319,3787,3403,2779,0
"17031_2015","17","031",2015,"PSD",594,1,"17031_2015",16503,1611,2868,2156,0
"17032_2015","17","032",2015,"PRI",178,1,"17032_2015",5283,48,2010,46,0
"17033_2015","17","033",2015,"PRI",304,5,"17033_2015",7669,669,1503,759,0
"19001_2015","19","001",2015,"PRD",28,NA,"19001_2015",1746,56,485,561,0
"19002_2015","19","002",2015,"PAN",32,NA,"19002_2015",2760,1202,742,0,0
"19003_2015","19","003",2015,"PRI",5,NA,"19003_2015",1496,545,646,0,0
"19004_2015","19","004",2015,"PAN",309,NA,"19004_2015",14353,8078,5435,0,0
"19005_2015","19","005",2015,"PAN",0,NA,"19005_2015",0,0,0,0,0
"19006_2015","19","006",2015,"PRI",3343,NA,"19006_2015",183267,55838,64171,2924,0
"19007_2015","19","007",2015,"PRI",290,NA,"19007_2015",9264,3068,5800,15,0
"19008_2015","19","008",2015,"PAN",18,NA,"19008_2015",2635,1029,811,0,0
"19009_2015","19","009",2015,"PAN",0,NA,"19009_2015",0,0,0,0,0
"19010_2015","19","010",2015,"PRI",127,NA,"19010_2015",7527,1837,1959,257,0
"19011_2015","19","011",2015,"PAN",41,NA,"19011_2015",4232,2561,1671,0,0
"19012_2015","19","012",2015,"PAN",0,NA,"19012_2015",0,0,0,0,0
"19013_2015","19","013",2015,"PAN",120,NA,"19013_2015",6253,1898,1109,0,0
"19014_2015","19","014",2015,"PRI",433,NA,"19014_2015",20386,8482,11544,111,0
"19015_2015","19","015",2015,"PRI",19,NA,"19015_2015",1755,716,881,0,0
"19016_2015","19","016",2015,"PAN",0,NA,"19016_2015",0,0,0,0,0
"19017_2015","19","017",2015,"PRI",842,NA,"19017_2015",19694,3850,9268,116,0
"19018_2015","19","018",2015,"PAN",0,NA,"19018_2015",0,0,0,0,0
"19019_2015","19","019",2015,"PAN",0,NA,"19019_2015",0,0,0,0,0
"19020_2015","19","020",2015,"PAN",26,NA,"19020_2015",3873,1985,1888,0,0
"19021_2015","19","021",2015,"PRI",2752,NA,"19021_2015",125660,25285,53692,2156,0
"19022_2015","19","022",2015,"PAN",0,NA,"19022_2015",0,0,0,0,0
"19023_2015","19","023",2015,"PAN",0,NA,"19023_2015",0,0,0,0,0
"19024_2015","19","024",2015,"PT",88,NA,"19024_2015",4058,96,1717,0,0
"19025_2015","19","025",2015,"PAN",204,NA,"19025_2015",14580,7027,4551,631,0
"19026_2015","19","026",2015,"PAN",5906,NA,"19026_2015",296806,114623,100375,3076,0
"19027_2015","19","027",2015,"PAN",20,NA,"19027_2015",1990,1017,910,0,0
"19028_2015","19","028",2015,"PAN",14,NA,"19028_2015",1090,520,471,0,0
"19029_2015","19","029",2015,"PRI",54,NA,"19029_2015",4102,1614,1862,0,0
"19030_2015","19","030",2015,"PRI",43,NA,"19030_2015",2472,1156,1305,0,0
"19031_2015","19","031",2015,"PAN",0,NA,"19031_2015",0,0,0,0,0
"19032_2015","19","032",2015,"PAN",28,NA,"19032_2015",3400,2280,1067,0,0
"19033_2015","19","033",2015,"PAN",907,NA,"19033_2015",34299,20044,7320,267,0
"19034_2015","19","034",2015,"PAN",0,NA,"19034_2015",0,0,0,0,0
"19035_2015","19","035",2015,"PNA",6,NA,"19035_2015",1101,0,520,0,0
"19036_2015","19","036",2015,"PRI",82,NA,"19036_2015",4166,1667,2193,11,0
"19037_2015","19","037",2015,"PRI",71,NA,"19037_2015",3411,84,1462,95,0
"19038_2015","19","038",2015,"PRI",850,NA,"19038_2015",26409,7067,12216,237,0
"19039_2015","19","039",2015,"PRI",13081,NA,"19039_2015",526605,142832,162039,5452,0
"19040_2015","19","040",2015,"PAN",0,NA,"19040_2015",0,0,0,0,0
"19041_2015","19","041",2015,"PAN",0,NA,"19041_2015",0,0,0,0,0
"19042_2015","19","042",2015,"PRI",69,NA,"19042_2015",3153,928,1288,0,0
