"muniYear","muni","year","tomas_dom_agua","tomas_elec","sist_dren"
"07074_1994","07074",1994,3,NA,1
"07075_1994","07075",1994,1932,NA,1
"07076_1994","07076",1994,278,NA,1
"07077_1994","07077",1994,666,NA,3
"07078_1994","07078",1994,15959,NA,1
"07079_1994","07079",1994,1396,NA,3
"07080_1994","07080",1994,295,NA,1
"07081_1994","07081",1994,1092,NA,1
"07082_1994","07082",1994,136,NA,1
"07083_1994","07083",1994,828,NA,2
"07084_1994","07084",1994,250,NA,3
"07085_1994","07085",1994,497,NA,1
"07086_1994","07086",1994,1646,NA,1
"07087_1994","07087",1994,2064,NA,1
"07088_1994","07088",1994,69,NA,1
"07089_1994","07089",1994,21975,NA,3
"07090_1994","07090",1994,218,NA,1
"07091_1994","07091",1994,895,NA,2
"07092_1994","07092",1994,610,NA,1
"07093_1994","07093",1994,215,NA,3
"07094_1994","07094",1994,1569,NA,1
"07096_1994","07096",1994,1565,NA,1
"07097_1994","07097",1994,4972,NA,3
"07098_1994","07098",1994,471,NA,1
"07099_1994","07099",1994,1673,NA,3
"07100_1994","07100",1994,242,NA,4
"07101_1994","07101",1994,60793,NA,3
"07102_1994","07102",1994,1200,NA,1
"07103_1994","07103",1994,321,NA,1
"07104_1994","07104",1994,585,NA,1
"07105_1994","07105",1994,441,NA,5
"07106_1994","07106",1994,2360,NA,4
"07107_1994","07107",1994,1587,NA,13
"07108_1994","07108",1994,6165,NA,13
"07109_1994","07109",1994,2396,NA,8
"07110_1994","07110",1994,770,NA,2
"07111_1994","07111",1994,325,NA,1
"07112_1994","07112",1994,238,NA,1
"07113_1994","07113",1994,NA,NA,NA
"07114_1994","07114",1994,NA,NA,NA
"07115_1994","07115",1994,NA,NA,NA
"07116_1994","07116",1994,NA,NA,NA
"07117_1994","07117",1994,NA,NA,NA
"07118_1994","07118",1994,NA,NA,NA
"07119_1994","07119",1994,NA,NA,NA
"07120_1994","07120",1994,NA,NA,NA
"07121_1994","07121",1994,NA,NA,NA
"07122_1994","07122",1994,NA,NA,NA
"07123_1994","07123",1994,NA,NA,NA
"07124_1994","07124",1994,NA,NA,NA
"08001_1994","08001",1994,2381,5025,1
"08002_1994","08002",1994,4566,4548,1
"08003_1994","08003",1994,2190,2840,5
"08004_1994","08004",1994,567,663,2
"08005_1994","08005",1994,4490,4957,2
"08006_1994","08006",1994,1766,1518,1
"08007_1994","08007",1994,1456,1254,1
"08008_1994","08008",1994,223,NA,0
"08009_1994","08009",1994,3013,2662,2
"08010_1994","08010",1994,5022,2060,2
"08011_1994","08011",1994,10061,12119,2
"08012_1994","08012",1994,734,920,1
"08013_1994","08013",1994,1884,11065,0
"08014_1994","08014",1994,476,676,4
"08015_1994","08015",1994,406,535,0
"08016_1994","08016",1994,969,772,3
"08017_1994","08017",1994,24029,31649,4
"08018_1994","08018",1994,1388,1896,0
"08019_1994","08019",1994,162719,125190,1
"08020_1994","08020",1994,481,NA,0
"08021_1994","08021",1994,29155,22843,13
"08022_1994","08022",1994,1211,1169,0
"08023_1994","08023",1994,618,840,1
"08024_1994","08024",1994,680,2174,1
"08025_1994","08025",1994,2617,2534,1
"08026_1994","08026",1994,1111,1024,1
