"Clave","mayor6_leer_esc","may5_asistencia","year","muniYear"
"07071",20993,NA,1995,"07071_1995"
"07072",16720,NA,1995,"07072_1995"
"07073",5008,NA,1995,"07073_1995"
"07074",27419,NA,1995,"07074_1995"
"07075",16105,NA,1995,"07075_1995"
"07076",NA,NA,1995,"07076_1995"
"07077",36670,NA,1995,"07077_1995"
"07078",97977,NA,1995,"07078_1995"
"07079",19606,NA,1995,"07079_1995"
"07080",24797,NA,1995,"07080_1995"
"07081",NA,NA,1995,"07081_1995"
"07082",3029,NA,1995,"07082_1995"
"07083",11551,NA,1995,"07083_1995"
"07084",5645,NA,1995,"07084_1995"
"07085",5877,NA,1995,"07085_1995"
"07086",11887,NA,1995,"07086_1995"
"07087",23672,NA,1995,"07087_1995"
"07088",1216,NA,1995,"07088_1995"
"07089",209975,NA,1995,"07089_1995"
"07090",2495,NA,1995,"07090_1995"
"07091",7402,NA,1995,"07091_1995"
"07092",28779,NA,1995,"07092_1995"
"07093",21897,NA,1995,"07093_1995"
"07094",18168,NA,1995,"07094_1995"
"07096",38034,NA,1995,"07096_1995"
"07097",63002,NA,1995,"07097_1995"
"07098",3847,NA,1995,"07098_1995"
"07099",49664,NA,1995,"07099_1995"
"07100",NA,NA,1995,"07100_1995"
"07101",333736,NA,1995,"07101_1995"
"07102",27494,NA,1995,"07102_1995"
"07103",18998,NA,1995,"07103_1995"
"07104",9284,NA,1995,"07104_1995"
"07105",10988,NA,1995,"07105_1995"
"07106",43781,NA,1995,"07106_1995"
"07107",53368,NA,1995,"07107_1995"
"07108",67766,NA,1995,"07108_1995"
"07109",19032,NA,1995,"07109_1995"
"07110",3816,NA,1995,"07110_1995"
"07111",19824,NA,1995,"07111_1995"
"07112",NA,NA,1995,"07112_1995"
"07113",NA,NA,1995,"07113_1995"
"07114",NA,NA,1995,"07114_1995"
"07115",NA,NA,1995,"07115_1995"
"07116",NA,NA,1995,"07116_1995"
"07117",NA,NA,1995,"07117_1995"
"07118",NA,NA,1995,"07118_1995"
"07119",NA,NA,1995,"07119_1995"
"07120",NA,NA,1995,"07120_1995"
"07121",NA,NA,1995,"07121_1995"
"07122",NA,NA,1995,"07122_1995"
"07123",NA,NA,1995,"07123_1995"
"07124",NA,NA,1995,"07124_1995"
"08001",10685,NA,1995,"08001_1995"
"08002",17205,NA,1995,"08002_1995"
"08003",8288,NA,1995,"08003_1995"
"08004",3203,NA,1995,"08004_1995"
"08005",16588,NA,1995,"08005_1995"
"08006",6375,NA,1995,"08006_1995"
"08007",13955,NA,1995,"08007_1995"
"08008",9037,NA,1995,"08008_1995"
"08009",21583,NA,1995,"08009_1995"
"08010",16456,NA,1995,"08010_1995"
"08011",39928,NA,1995,"08011_1995"
"08012",7037,NA,1995,"08012_1995"
